"Target gene symbol","Target gene ID","Target gene type3prime_overlapping_nMt_rRNAMt_tRNATECantisense_RNAbidirectional_promotlincRNAmacro_lncRNAmiRNAmisc_RNAprocessed_transcriptprotein_codingrRNAsense_intronicsense_overlappingsnRNAsnoRNA","ProtocolPAR-CLIP,MiClipPAR-CLIP,PARalyzerPAR-CLIP,Piranha_0.01iCLIP,CIMSiCLIP,Piranha_0.01iCLIP,PureCLIP","Target gene exp. level","Binding site records"
"SNORD118","ENSG00000200463","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD18A","ENSG00000200623","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD18B","ENSG00000202529","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD19B","ENSG00000238862","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD25","ENSG00000275043","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD34","ENSG00000202503","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD45C","ENSG00000206620","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD83A","ENSG00000209482","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD88A","ENSG00000221241","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD92","ENSG00000264994","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SNORD99","ENSG00000221539","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"snoU18","ENSG00000280554","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"U8","ENSG00000200496","snoRNA","PAR-CLIP,Piranha_0.01","","3"
"SCARNA12","ENSG00000238795","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"snoR1","ENSG00000281010","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA1","ENSG00000206834","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA20","ENSG00000207392","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA31","ENSG00000199477","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA50","ENSG00000281311","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA50A","ENSG00000206952","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA50C","ENSG00000277887","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA5A","ENSG00000206838","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA63","ENSG00000200418","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA74A","ENSG00000200959","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA74D","ENSG00000252213","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA80A","ENSG00000200792","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD110","ENSG00000221116","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD12","ENSG00000212304","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD12B","ENSG00000222365","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD16","ENSG00000199673","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD42B","ENSG00000238423","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD50B","ENSG00000275072","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD52","ENSG00000201754","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD57","ENSG00000226572","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD58C","ENSG00000202093","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD60","ENSG00000206630","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD68","ENSG00000200084","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD88C","ENSG00000220988","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD90","ENSG00000212447","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORD97","ENSG00000238622","snoRNA","PAR-CLIP,Piranha_0.01","","2"
"SNORA13","ENSG00000238363","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA2B","ENSG00000207313","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA32","ENSG00000206799","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA36B","ENSG00000222370","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA38","ENSG00000200816","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA38B","ENSG00000200394","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA41","ENSG00000207406","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA57","ENSG00000206597","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA58","ENSG00000249020","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA5C","ENSG00000201772","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA6","ENSG00000206760","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA64","ENSG00000207405","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA69","ENSG00000206622","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA71B","ENSG00000235408","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA71D","ENSG00000200354","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA72","ENSG00000207067","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA8","ENSG00000207304","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA80B","ENSG00000206633","snoRNA","PAR-CLIP,Piranha_0.01","","1"
"SNORA84","ENSG00000239183","snoRNA","PAR-CLIP,Piranha_0.01","","1"
