"Target gene symbol","Target gene ID","Target gene type3prime_overlapping_nMt_rRNAMt_tRNATECantisense_RNAbidirectional_promotlincRNAmacro_lncRNAmiRNAmisc_RNAprocessed_transcriptprotein_codingrRNAsense_intronicsense_overlappingsnRNAsnoRNA","ProtocolPAR-CLIP,MiClipPAR-CLIP,PARalyzerPAR-CLIP,Piranha_0.01iCLIP,CIMSiCLIP,Piranha_0.01iCLIP,PureCLIP","Target gene exp. level","Binding site records"
"FAM83G","ENSG00000188522","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"FKBP8","ENSG00000105701","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"ITGA5","ENSG00000161638","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"JUNB","ENSG00000171223","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"KMT2A","ENSG00000118058","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"MC1R","ENSG00000258839","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"MLF2","ENSG00000089693","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"MTSS1L","ENSG00000132613","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"NPTX1","ENSG00000171246","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"P3H1","ENSG00000117385","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"PCBP2","ENSG00000197111","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"PHF23","ENSG00000040633","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"PPP2R1A","ENSG00000105568","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"RPN2","ENSG00000118705","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"SLC39A7","ENSG00000112473","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"SLC7A1","ENSG00000139514","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"SMCR8","ENSG00000176994","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"SPATA13","ENSG00000182957","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"ST5","ENSG00000166444","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"SYNGR2","ENSG00000108639","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"TAPBP","ENSG00000231925","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"TRIB3","ENSG00000101255","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"WNT7B","ENSG00000188064","protein_coding","PAR-CLIP,Piranha_0.01","","17"
"ABL2","ENSG00000143322","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ADNP","ENSG00000101126","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ALG9","ENSG00000086848","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"APBB2","ENSG00000163697","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"APLP2","ENSG00000084234","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ASH1L","ENSG00000116539","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"AURKA","ENSG00000087586","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"B4GALT1","ENSG00000086062","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"B4GALT2","ENSG00000117411","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"CACNA2D3","ENSG00000157445","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"CD59","ENSG00000085063","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"CDK10","ENSG00000185324","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"CERS2","ENSG00000143418","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"CSRNP1","ENSG00000144655","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"DAZAP1","ENSG00000071626","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"DENND3","ENSG00000105339","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"DENND5A","ENSG00000184014","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"FAM131A","ENSG00000175182","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"FAM208B","ENSG00000108021","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"FOXRED1","ENSG00000110074","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"GPR107","ENSG00000148358","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"HSP90AA1","ENSG00000080824","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"IL17RA","ENSG00000177663","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"IRS2","ENSG00000185950","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"JDP2","ENSG00000140044","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"KCNAB2","ENSG00000069424","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"KIAA0930","ENSG00000100364","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"LGR4","ENSG00000205213","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"MARK3","ENSG00000075413","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"MGAT4B","ENSG00000161013","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"MKL2","ENSG00000186260","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"NEO1","ENSG00000067141","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"NOTCH2","ENSG00000134250","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"NPR3","ENSG00000113389","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"PARP8","ENSG00000151883","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"PCNX3","ENSG00000197136","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"PNPO","ENSG00000108439","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"POGK","ENSG00000143157","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"RAB5C","ENSG00000108774","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"RNFT2","ENSG00000135119","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ROCK2","ENSG00000134318","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"SCD","ENSG00000099194","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"SELENON","ENSG00000162430","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"SLC38A1","ENSG00000111371","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"SMARCA4","ENSG00000127616","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"SRSF11","ENSG00000116754","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"SSR4","ENSG00000180879","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"STMN1","ENSG00000117632","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"TGIF2","ENSG00000118707","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"TM9SF4","ENSG00000101337","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"TOMM40","ENSG00000130204","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"TOP3A","ENSG00000177302","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"TSPAN17","ENSG00000048140","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"UBE2C","ENSG00000175063","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"UBL4A","ENSG00000102178","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"UBL5","ENSG00000198258","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ZBTB21","ENSG00000173276","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ZNF121","ENSG00000197961","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ZNF707","ENSG00000181135","protein_coding","PAR-CLIP,Piranha_0.01","","16"
"ACTN4","ENSG00000130402","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"ADRM1","ENSG00000130706","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"AGRN","ENSG00000188157","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"BET1L","ENSG00000177951","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"CDC27","ENSG00000004897","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"CENPM","ENSG00000100162","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"CHD9","ENSG00000177200","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"CLN3","ENSG00000188603","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"CTNNB1","ENSG00000168036","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"DYNLL1","ENSG00000088986","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"FBXW2","ENSG00000119402","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"GRB2","ENSG00000177885","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"HNRNPF","ENSG00000169813","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"IARS","ENSG00000196305","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"IGFBP7","ENSG00000163453","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"INF2","ENSG00000203485","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"JPT2","ENSG00000206053","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"KCNJ15","ENSG00000157551","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"MCAM","ENSG00000076706","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"MLX","ENSG00000108788","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"MYO1C","ENSG00000197879","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"NAP1L4","ENSG00000205531","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"NDUFC2","ENSG00000151366","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"NPM1","ENSG00000181163","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"NSD3","ENSG00000147548","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"NUP214","ENSG00000126883","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"OXA1L","ENSG00000155463","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"PPM1A","ENSG00000100614","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"PPP3CA","ENSG00000138814","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"PPT1","ENSG00000131238","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"PSMA7","ENSG00000101182","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"RAB34","ENSG00000109113","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"RPL36","ENSG00000130255","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"RTN4R","ENSG00000040608","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"SGK1","ENSG00000118515","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"SIGMAR1","ENSG00000147955","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"SUV39H2","ENSG00000152455","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"TARS","ENSG00000113407","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"TMEM43","ENSG00000170876","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"TPM2","ENSG00000198467","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"TRIM56","ENSG00000169871","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"UBAP1","ENSG00000165006","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"XPNPEP1","ENSG00000108039","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"XPO6","ENSG00000169180","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"ZFP64","ENSG00000020256","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"ZNF213","ENSG00000085644","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"ZNF444","ENSG00000167685","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"ZNF714","ENSG00000160352","protein_coding","PAR-CLIP,Piranha_0.01","","15"
"AC008764.4","ENSG00000268790","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"AC106886.5","ENSG00000282034","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ADNP2","ENSG00000101544","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ANKLE2","ENSG00000176915","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ARHGDIA","ENSG00000141522","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ATN1","ENSG00000111676","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ATP9A","ENSG00000054793","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CD99L2","ENSG00000102181","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CDK12","ENSG00000167258","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CLUH","ENSG00000132361","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CNBP","ENSG00000169714","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"COPS3","ENSG00000141030","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CREB3L2","ENSG00000182158","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CRK","ENSG00000167193","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CRTAP","ENSG00000170275","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CSDE1","ENSG00000009307","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"CTBP1","ENSG00000159692","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"DDIT3","ENSG00000175197","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"EHMT1","ENSG00000181090","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"EPPK1","ENSG00000261150","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"FEM1B","ENSG00000169018","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"HNRNPA0","ENSG00000177733","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"HNRNPAB","ENSG00000197451","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"IMMT","ENSG00000132305","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"KRT18","ENSG00000111057","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"KRT80","ENSG00000167767","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"MAPK4","ENSG00000141639","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"MFAP3","ENSG00000037749","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"NAB2","ENSG00000166886","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"NCKAP5L","ENSG00000167566","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"NOP10","ENSG00000182117","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"NT5C3A","ENSG00000122643","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PAPD7","ENSG00000112941","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PCBP1","ENSG00000169564","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PDE3A","ENSG00000172572","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PFKP","ENSG00000067057","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PLA2G15","ENSG00000103066","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"POLDIP2","ENSG00000004142","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PRAG1","ENSG00000275342","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"PSMC3","ENSG00000165916","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"RRM2","ENSG00000171848","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SETX","ENSG00000107290","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SHC1","ENSG00000160691","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SIX4","ENSG00000100625","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SLC33A1","ENSG00000169359","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SLC38A2","ENSG00000134294","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SNRNP70","ENSG00000104852","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"SP1","ENSG00000185591","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"TAF5L","ENSG00000135801","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"TAGLN2","ENSG00000158710","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"TEAD1","ENSG00000187079","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"TMUB1","ENSG00000164897","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"TPD52","ENSG00000076554","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"UAP1L1","ENSG00000197355","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"UBE2D3","ENSG00000109332","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"USP22","ENSG00000124422","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"WDR45B","ENSG00000141580","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ZNF615","ENSG00000197619","protein_coding","PAR-CLIP,Piranha_0.01","","14"
"ANKRD9","ENSG00000156381","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"ATF7IP","ENSG00000171681","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"CELSR1","ENSG00000075275","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"CHST12","ENSG00000136213","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"CLN6","ENSG00000128973","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"DDA1","ENSG00000130311","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"DPAGT1","ENSG00000172269","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"EXTL3","ENSG00000012232","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"HDLBP","ENSG00000115677","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"HLA-A","ENSG00000206503","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"HYOU1","ENSG00000149428","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"KCTD15","ENSG00000153885","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"LDHB","ENSG00000111716","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"LPCAT1","ENSG00000153395","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"LUZP1","ENSG00000169641","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"MECR","ENSG00000116353","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"MSI2","ENSG00000153944","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"NECAP2","ENSG00000157191","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"PDE10A","ENSG00000112541","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"RHOBTB2","ENSG00000008853","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"SCAMP4","ENSG00000227500","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"SSR1","ENSG00000124783","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TAP2","ENSG00000204267","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TBL1X","ENSG00000101849","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TGIF1","ENSG00000177426","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TMEM201","ENSG00000188807","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TNFAIP1","ENSG00000109079","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TNFRSF12A","ENSG00000006327","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TUBB6","ENSG00000176014","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"TXNDC5","ENSG00000239264","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"UBAP2L","ENSG00000143569","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"USP3","ENSG00000140455","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"ZEB1","ENSG00000148516","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"ZNF451","ENSG00000112200","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"ZNF57","ENSG00000171970","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"ZNF672","ENSG00000171161","protein_coding","PAR-CLIP,Piranha_0.01","","13"
"A4GALT","ENSG00000128274","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"AAMDC","ENSG00000087884","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ADGRL2","ENSG00000117114","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ADM","ENSG00000148926","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"AP5B1","ENSG00000254470","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ARCN1","ENSG00000095139","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ARHGAP35","ENSG00000160007","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"BLCAP","ENSG00000166619","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"BLOC1S2","ENSG00000196072","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"C12orf49","ENSG00000111412","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"C16orf58","ENSG00000140688","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CBX4","ENSG00000141582","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CCNB1","ENSG00000134057","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CEP170B","ENSG00000099814","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CHST14","ENSG00000169105","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CLSTN1","ENSG00000171603","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CREBBP","ENSG00000005339","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"CSF1","ENSG00000184371","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"DDIT4","ENSG00000168209","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"DEF8","ENSG00000140995","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"DHX33","ENSG00000005100","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"DPH2","ENSG00000132768","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"EFTUD2","ENSG00000108883","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"EIF3B","ENSG00000106263","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"EIF6","ENSG00000242372","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ELAC2","ENSG00000006744","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ENO1","ENSG00000074800","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"EPOR","ENSG00000187266","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ERGIC3","ENSG00000125991","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"FBXO34","ENSG00000178974","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"FRS2","ENSG00000166225","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"FZD2","ENSG00000180340","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"HEG1","ENSG00000173706","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"HSPA5","ENSG00000044574","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"HYAL2","ENSG00000068001","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"IKBKB","ENSG00000104365","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"IRS1","ENSG00000169047","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"KANK4","ENSG00000132854","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"KAT6A","ENSG00000083168","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"KCNK1","ENSG00000135750","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"KNL1","ENSG00000137812","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"LIFR","ENSG00000113594","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"LMTK2","ENSG00000164715","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"MT-ATP6","ENSG00000198899","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"MT-CO3","ENSG00000198938","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"MYO18A","ENSG00000196535","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"MYO9A","ENSG00000066933","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"MYPN","ENSG00000138347","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NCAPD2","ENSG00000010292","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NDOR1","ENSG00000188566","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NDUFC2-KCTD14","ENSG00000259112","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NFIB","ENSG00000147862","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NLRC5","ENSG00000140853","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NME2","ENSG00000243678","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NOP2","ENSG00000111641","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NOTCH2NL","ENSG00000264343","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"NTRK3","ENSG00000140538","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PABPN1","ENSG00000100836","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PAICS","ENSG00000128050","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PEX26","ENSG00000215193","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PIP5K1A","ENSG00000143398","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PLAUR","ENSG00000011422","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PLEKHG3","ENSG00000126822","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PLEKHH3","ENSG00000068137","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"POR","ENSG00000127948","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PPP4R3A","ENSG00000100796","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PPRC1","ENSG00000148840","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PRNP","ENSG00000171867","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PTMS","ENSG00000159335","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"PTTG1IP","ENSG00000183255","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RGS6","ENSG00000182732","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RNF26","ENSG00000173456","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RPL13A","ENSG00000142541","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RPS16","ENSG00000105193","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RPS5","ENSG00000083845","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RPS8","ENSG00000142937","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"RRBP1","ENSG00000125844","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"SDCCAG3","ENSG00000165689","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"SGSH","ENSG00000181523","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"SLC12A4","ENSG00000124067","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"SLC45A4","ENSG00000022567","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"SLC7A2","ENSG00000003989","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"SPECC1","ENSG00000128487","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"ST3GAL2","ENSG00000157350","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"TADA2B","ENSG00000173011","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"TAF1D","ENSG00000166012","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"THBS1","ENSG00000137801","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"TJP1","ENSG00000104067","protein_coding","PAR-CLIP,Piranha_0.01","","12"
"TRIM4","ENSG00000146833","protein_coding","PAR-CLIP,Piranha_0.01","","12"
